ID	name	species	sex	cc	cp	maT	apodeme	sp.number	sex.number	csize	sqapodeme	center.cc	center.csize	pc1	pc2
20	ABTAO28	abtao	male	17.61	11.763	0.783515074	1.1	1	2	274.18049014558	1.04880884817015	-3.64333333333333	-128.47719878572	0.0211705485992763	0.0156827879069234
21	ABTAO29	abtao	male	16.5	10.298	0.87456446	1.33	1	2	243.36730893615	1.15325625946708	-4.75333333333333	-159.29037999515	0.0406870915780464	0.0409075725545761
22	ABTAO3	abtao	male	16.73	10.67	0.647457627	1.61	1	2	319.385991810389	1.26885775404495	-4.52333333333333	-83.2716971209106	0.0245635418569252	0.0451021647242266
23	ABTAO30	abtao	male	15.29	8.976	0.957326892	0.82	1	2	214.867400970924	0.905538513813742	-5.96333333333333	-187.790287960375	0.0134782569736281	0.0551706544890836
24	ABTAO31	abtao	male	17.54	11.942	0.820010875	2.09	1	2	290.551200307278	1.4456832294801	-3.71333333333333	-112.106488624022	0.0331267665245824	0.0303876758101158
25	ABTAO32	abtao	male	18.89	13.004	0.757195186	1.97	1	2	319.632141503875	1.40356688476182	-2.36333333333333	-83.0255474274251	0.0177800608351579	0.0368570477263911
26	ABTAO33	abtao	male	17.55	11.305	0.868180385	1.33	1	2	270.179025615152	1.15325625946708	-3.70333333333333	-132.478663316148	0.00887404859817253	0.0412604323862366
27	ABTAO34	abtao	male	19.45	13.92	0.831232493	3.01	1	2	332.171642377853	1.73493515728975	-1.80333333333333	-70.4860465534471	0.0456399359149332	0.0215968213324672
28	ABTAO36	abtao	male	14.97	8.28	0.822566372	0.8	1	2	197.247530365513	0.894427190999916	-6.28333333333333	-205.410158565786	-0.0201524954110961	0.0310747572047598
29	ABTAO37	abtao	male	19.51	13.847	0.764275925	2.95	1	2	338.745609912946	1.71755640373177	-1.74333333333333	-63.9120790183532	0.0498951992829981	0.0467786681569492
30	ABTAO38	abtao	male	17.69	12.374	0.897139555	1.9	1	2	290.867667505345	1.37840487520902	-3.56333333333333	-111.790021425955	0.0338521935975271	0.0421314391583897
31	ABTAO39	abtao	male	16.29	9.568	0.971863118	1.37	1	2	236.087222167122	1.17046999107196	-4.96333333333333	-166.570466764177	0.0315920974527594	0.040962701665621
32	ABTAO40	abtao	male	16.51	11.43	0.859794498	1.45	1	2	264.859785324902	1.20415945787923	-4.74333333333333	-137.797903606398	0.00987854846499156	0.0505128599043114
33	ABTAO41	abtao	male	18.2	13.586	0.784938621	3.09	1	2	339.293730113183	1.75783958312469	-3.05333333333333	-63.3639588181164	0.0873772416980256	0.0365763599092306
34	ABTAO42	abtao	male	16.87	10.365	0.925692254	1.47	1	2	253.730519391318	1.21243556529821	-4.38333333333333	-148.927169539981	0.0443816758094035	0.0550317502103651
35	ABTAO44	abtao	male	16.02	10.493	0.869009585	1.3	1	2	237.78809152392	1.14017542509914	-5.23333333333333	-164.86959740738	0.0455407223216279	0.0293505550524831
